Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks
Apna Klub,Octopolis Technologies Pvt Ltd,Octopolis Technologies Pvt Ltd,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apna Mart,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Feb'26–Apr'26,3.74,0.21,8.89,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains)
Apna Mart,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Feb'26–Apr'26,8.03,3.9,12.16,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains)
Apna Mart,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Feb'26–Apr'26,94.63,86.58,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains)
Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-WB,APOLLO HEALTHCO LIMITED,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,May'25–Aug'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-WB-2,APOLLO HEALTHCO LIMITED,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up
Apollo,APOLLO HEALTHCO LIMITED-Chittor,APOLLO HEALTHCO LIMITED-Chittor,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Jun'25–Aug'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Chittor,APOLLO HEALTHCO LIMITED-Chittor,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Chittor,APOLLO HEALTHCO LIMITED-Chittor,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-HYD,APOLLO HEALTHCO LIMITED-HYD,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-HYD,APOLLO HEALTHCO LIMITED-HYD,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Madurai,APOLLO HEALTHCO LIMITED-Madurai,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,May'25–May'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Madurai,APOLLO HEALTHCO LIMITED-Madurai,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Madurai,APOLLO HEALTHCO LIMITED-Madurai,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,May'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Vijayawada,APOLLO HEALTHCO LIMITED-Vijayawada,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Sep'25–Sep'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Vijayawada,APOLLO HEALTHCO LIMITED-Vijayawada,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED-Vijayawada,APOLLO HEALTHCO LIMITED-Vijayawada,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED_AHMEDABAD,APOLLO HEALTHCO LIMITED_AHMEDABAD,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,APOLLO HEALTHCO LIMITED_AHMEDABAD,APOLLO HEALTHCO LIMITED_AHMEDABAD,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,Apollo Healthco Limited Faridabad_ShipTo,Apollo Healthco Limited Faridabad,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,Apollo Healthco Limited Faridabad_ShipTo,Apollo Healthco Limited Faridabad,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Aug'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,Apollo Healthco Limited Faridabad_ShipTo,Apollo Healthco Limited Faridabad,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,Apollo Healthco Limited-Assam,Apollo Healthco Limited-Assam,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
Apollo,Apollo Healthco Limited-Assam,Apollo Healthco Limited-Assam,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Mar'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1)
